asin	overall	sentimentScores
1384719342	5	0.4939
1384719342	5	0.915
1384719342	5	-0.34
1384719342	5	0.5859
1384719342	5	0.765
B00004Y2UT	5	0.9311
B00004Y2UT	5	0.4215
B00004Y2UT	3	0.3783
B00004Y2UT	5	0.794
B00004Y2UT	5	0.9107
B00004Y2UT	5	0.8885
B00005ML71	4	0.4927
B00005ML71	3	0.1263
B00005ML71	5	0.8957
B00005ML71	5	0.0
B00005ML71	2	0.8807
B000068NSX	4	0.9312
B000068NSX	5	0.9001
B000068NSX	5	0.9484
B000068NSX	5	0.875
B000068NSX	4	0.9385
B000068NSX	5	0.8126
B000068NSX	4	0.8643
B000068NTU	5	0.8572
B000068NTU	5	0.923
B000068NTU	4	0.25
B000068NTU	5	0.075
B000068NTU	5	0.7184
B000068NVI	4	-0.5256
B000068NVI	5	0.0772
B000068NVI	5	0.8481
B000068NVI	5	0.5719
B000068NVI	4	0.7003
B000068NVI	5	0.7574
B000068NVI	5	0.8687
B000068NVI	4	-0.2023
B000068NVI	4	0.2481
B000068NVI	4	0.4404
B000068NVI	5	0.6369
B000068NVI	4	0.8689
B000068NVI	5	0.7964
B000068NW5	5	0.7003
B000068NW5	5	0.5106
B000068NW5	5	0.6486
B000068NW5	5	0.7845
B000068NW5	4	0.8316
B000068NW5	4	0.7003
B000068NW5	5	0.7613
B000068NW5	5	0.8807
B000068NW5	5	0.9493
B000068NW5	2	-0.25
B000068NW5	5	0.2732
B000068NW5	1	-0.2982
B000068NW5	4	0.5994
B000068NW5	5	0.8689
B000068NW5	5	0.8519
B000068NW5	5	0.3612
B000068NW5	5	0.9313
B000068NW5	4	0.6369
B000068NW5	3	0.6369
B000068NW5	5	0.0516
B000068NW5	5	-0.7088
B000068NW5	5	0.7269
B000068NW5	5	-0.7264
B000068NW5	5	0.8741
B000068NW5	5	0.5106
B000068NW5	5	0.7506
B000068NW5	4	0.9337
B000068NW5	5	0.6908
B000068NW5	5	0.8748
B000068NW5	5	0.1779
B000068NW5	3	0.296
B000068NW5	5	0.8172
B000068NW5	4	0.9665
B000068NW5	3	0.8225
B000068NW5	5	0.9262
B000068NW5	3	-0.4767
B000068NW5	4	-0.7186
B000068NW5	5	0.4019
B000068NW5	4	-0.5994
B000068NW5	5	0.8316
B000068NW5	5	0.301
B000068NW5	5	0.573
B000068NW5	5	0.4588
B000068NW5	5	0.9242
B000068NW5	5	0.8074
B000068NW5	5	0.2023
B000068NW5	5	0.3612
B000068NW5	4	0.9409
B000068NW5	1	-0.8203
B000068NW5	5	0.8412
B000068NW5	5	0.2263
B000068NW5	5	-0.2018
B000068NZC	3	0.3818
B000068NZC	5	0.8481
B000068NZC	5	0.6908
B000068NZC	5	0.8442
B000068NZC	4	0.34
B000068NZC	2	0.3339
B000068NZC	5	0.2732
B000068NZG	5	0.1027
B000068NZG	5	0.9719
B000068NZG	5	0.8656
B000068NZG	4	0.9151
B000068NZG	4	0.8555
B000068O1N	4	0.5106
B000068O1N	5	0.9312
B000068O1N	5	-0.1739
B000068O1N	5	0.8803
B000068O1N	5	0.9354
B000068O1N	5	0.8689
B000068O1N	5	0.7263
B000068O1N	5	0.8689
B000068O1N	5	0.9449
B000068O3D	5	0.8934
B000068O3D	5	0.0
B000068O3D	5	0.7184
B000068O3D	5	-0.7214
B000068O3D	4	0.8885
B000068O3D	5	0.4215
B000068O3D	5	0.7096
B000068O3X	5	0.6838
B000068O3X	4	0.1643
B000068O3X	4	0.8708
B000068O3X	5	0.784
B000068O3X	5	0.8155
B000068O3X	5	0.7984
B000068O3X	5	0.1531
B000068O3X	4	0.91
B000068O3X	5	-0.7027
B000068O3X	5	0.8911
B000068O3X	4	0.4215
B000068O3X	5	0.6319
